Date,2010_windspeed,2011_windspeed,2012_windspeed,2013_windspeed,2014_windspeed,2015_windspeed,2016_windspeed,2017_windspeed,2018_windspeed,2019_windspeed,2020_windspeed
2000-03-06 09:00:00,4.861095,4.3811584,6.153125,5.6263757000000005,7.071716,10.708459,5.4946684999999995,1.2382357,2.8074982000000004,8.579366,4.992156
2000-03-06 10:00:00,5.132987,4.49065,6.3663836,5.8236422999999995,8.499916,11.476280000000001,4.9495873,2.3536046,2.8154626,8.1162405,5.8343096
2000-03-06 11:00:00,5.21204,4.5033827,7.872727,6.318532,9.55455,11.988232,4.423477,3.1535732999999997,2.9035215,7.5734787,7.0117474
2000-03-06 12:00:00,5.127274,4.468804,8.620331,6.218057,9.840428,12.607104,3.7461832000000004,3.95594,3.0938925999999998,7.105972,8.461439
2000-03-06 13:00:00,5.101043,4.4352813,9.437722,5.887181,10.116406,12.762998,3.1774572999999995,5.219380999999999,3.2979858,7.436948299999999,9.103927
2000-03-06 14:00:00,5.009144999999999,4.402737,9.749025,5.5309553,9.987875,12.911385000000001,2.6198165,6.1689644,3.3149064,8.434566499999999,8.614616999999999
2000-03-06 15:00:00,4.810253599999999,4.378913,10.165936,5.387539,9.743025999999999,12.953223,2.4012852000000002,7.736509299999999,2.939452,9.485411000000001,7.7726507
2000-03-06 16:00:00,4.290607,4.147966,10.415116000000001,5.472081,9.478305,12.572405,2.4610038,9.083312,2.6965107999999995,10.272086,6.601952000000001
2000-03-06 17:00:00,3.5311794,3.5057561,10.603993,5.6714487,9.5001955,12.392184,2.7588341,8.913189,3.0287604,10.840301,5.074704
2000-03-06 18:00:00,3.7373102,3.3161678,10.793238,5.900678599999999,8.575655000000001,12.350482000000001,3.4007902000000003,7.6925,3.2784843,10.962581,4.6540870000000005
2000-03-06 19:00:00,3.7768326,3.117838,10.816367999999999,6.0835633,7.9089084000000005,12.287955,3.907551,6.676533999999999,3.4020087999999995,10.867343,4.8933144
2000-03-06 20:00:00,3.8818377999999996,2.9147527,10.872517,6.1519,7.7462754,12.253810000000001,4.2794685,6.4428279999999996,3.5607330000000004,10.639816,5.093561
2000-03-06 21:00:00,4.1491823,2.7780216,11.261347,6.159105,8.547087,12.348455,4.5046287000000005,6.333267,3.86294,10.401582000000001,4.986983
2000-03-06 22:00:00,4.5297003,2.6747669999999997,11.799303,6.1503252999999996,9.577375,12.809269,4.561223,5.9606900000000005,4.247730000000001,10.065574,4.991193
2000-03-06 23:00:00,5.2162657,2.5404005,12.088305,6.059566,9.948015,13.140607999999999,4.5303483,5.773251999999999,4.7958083,9.876614,5.2359514
2000-03-07 00:00:00,5.9686193,2.4484096,12.328312,5.97358,9.879717,12.978116,4.55382,5.102689700000001,5.133706,9.995542,5.551083
2000-03-07 01:00:00,6.3423295,2.4510572,11.855798,5.997173,9.573613,12.473846,4.5748663,4.699241000000001,5.361866,10.187373,6.0762277000000005
2000-03-07 02:00:00,6.165285,2.514529,10.920471000000001,6.2547984,8.633463,12.506628,4.598649,4.130625,5.930713,10.22136,6.687157000000001
2000-03-07 03:00:00,5.8360305,2.5320215,9.414011,6.159029,7.3106985,12.302416000000001,4.6844945,3.3172175999999998,6.3121347000000005,10.943238000000001,7.0093464999999995
2000-03-07 04:00:00,5.5977387,2.5314963,9.100873,6.2173514,7.174659299999999,11.732631,4.936401,2.5316259999999997,6.161669,12.124212,7.176127
2000-03-07 05:00:00,5.58763,2.5339627,8.958489,6.0819583,7.424108500000001,11.500232,5.4851427,1.9810607,5.8543983,12.820575999999999,7.2435922999999995
2000-03-07 06:00:00,5.4758252999999995,2.519493,8.922492,6.147691200000001,8.329255999999999,11.322771000000001,6.066060500000001,2.61132,5.840939499999999,13.387766000000001,7.6113539999999995
2000-03-07 07:00:00,5.4383297,2.3669486,9.353669,6.382085,9.04903,11.286497,6.822738,3.4673013999999998,6.163745,13.783616,7.822818300000001
2000-03-07 08:00:00,5.8776655,2.0669963,9.868046000000001,6.5563649999999996,9.029961,11.369629,7.617425999999999,4.8023185999999995,6.376499,13.950104999999999,8.170591
2000-03-07 09:00:00,6.209190400000001,2.0830235,10.252147,6.9244580000000004,9.157042,11.44559,7.803335000000001,5.5232797,6.040218,13.963477,8.426108000000001
2000-03-07 10:00:00,6.159825,1.9599195,10.858131,7.404933,8.887815,11.512031,7.930983500000001,6.706489,6.455891,13.824352,9.299502
2000-03-07 11:00:00,5.898083,1.7929968,11.182396,7.4150314,8.594068,11.663925,8.375886,8.113671,6.831552499999999,13.446947,10.244634
2000-03-07 12:00:00,5.553041,1.7722917,11.529025,7.2797160000000005,7.463857000000001,11.815248,8.176486,9.081199,6.740338,12.976707000000001,10.882038
