Date,2010_windspeed,2011_windspeed,2012_windspeed,2013_windspeed,2014_windspeed,2015_windspeed,2016_windspeed,2017_windspeed,2018_windspeed,2019_windspeed,2020_windspeed
2000-01-01 00:00:00,7.3315287,1.2536973999999999,11.3130865,9.961019,10.692015,11.828625,5.184729,8.532814,14.827435999999999,5.9212027,2.7778202999999997
2000-01-01 01:00:00,7.1131210000000005,1.6237777,11.455983999999999,10.19619,10.914266,11.693146,5.142205000000001,9.430978,14.982393,5.704133000000001,1.8775700000000002
2000-01-01 02:00:00,6.991472999999999,2.3064270000000002,11.253323,10.191272999999999,11.047433,11.784312,6.1458564,11.519667,15.107716,5.3954787,1.3027391000000001
2000-01-01 03:00:00,6.879767,3.0289192000000003,11.414132,10.088461,11.149606,11.90087,7.499753,11.386648,14.270764000000002,5.1884217,1.0802782
2000-01-01 04:00:00,6.818272599999999,3.627502,11.681671000000001,10.053136,11.329759,11.744043,8.641661000000001,11.143628999999999,12.952223,5.100347,1.4419382
2000-01-01 05:00:00,6.7650356,4.0201483,12.20163,9.990212,12.136682,11.70584,9.559675,11.492105,11.821672999999999,4.9857655,2.0440714
2000-01-01 06:00:00,6.666568300000001,4.1941085,12.046695,9.848711999999999,13.067157,11.784426,10.733937,11.680905000000001,10.698621000000001,4.857779,2.4797337
2000-01-01 07:00:00,6.468863,4.190852,11.855795,9.748294999999999,14.512549,13.721459,12.112451,11.635235,9.772116,4.6891812999999996,3.0145682999999996
2000-01-01 08:00:00,6.107164,4.144114,11.667422,9.869825,15.893881,14.7886095,13.384106,11.550908,9.506889,4.660586400000001,3.6065443
2000-01-01 09:00:00,5.609672,4.1113230000000005,11.489438999999999,9.871737,14.894323000000002,15.156407000000002,14.452395000000001,11.980196000000001,10.052136,4.689939,3.4027905
2000-01-01 10:00:00,5.0129247,4.179587000000001,10.925752000000001,9.671124,13.130851000000002,16.381926999999997,15.654304999999999,12.822858,10.926801,4.672932,2.7355473
2000-01-01 11:00:00,4.5467086,4.379148000000001,11.036019,9.337796,14.226441000000001,16.88058,16.9446,13.579619000000001,12.379874000000001,4.6428246,2.9484977999999997
2000-01-01 12:00:00,4.3364944,4.6860557,11.116602,9.285322,14.515035000000001,17.000248000000003,17.438053,13.989092999999999,14.4784155,4.614371299999999,3.7937174
2000-01-01 13:00:00,4.511715000000001,5.0777297,10.903775,9.218539,14.259829500000002,16.708064999999998,17.027243,13.885764000000002,15.048115,4.6112375,4.546566
2000-01-01 14:00:00,4.838687999999999,5.476021,10.816828,9.283725,13.794723000000001,16.254057,16.347233,13.634981,15.64345,4.4890823,5.173571599999999
2000-01-01 15:00:00,5.296982,5.886668,10.637872,8.917877,13.383056,16.167469,16.15222,13.438885,16.022348,4.375266000000001,5.7821193
2000-01-01 16:00:00,5.832041,6.513014,10.547163000000001,8.921216000000001,11.936397,16.17687,17.148373,13.265954999999998,15.505135000000001,4.3700743,6.3617063
2000-01-01 17:00:00,6.290218,7.0468106,10.407701,9.373453999999999,10.671722,16.180592,17.993617999999998,13.112072,14.371988,4.4355307,6.8110919999999995
2000-01-01 18:00:00,6.664872999999999,7.2507296000000006,10.163742999999998,9.12529,10.416903,16.1212,17.909565,12.961473,12.809616,4.668851999999999,7.2118416
2000-01-01 19:00:00,6.8716,7.383385700000001,9.953118,8.838785000000001,10.302552,15.809154500000002,17.627354,12.718304,11.338008,5.063155999999999,7.8340397
2000-01-01 20:00:00,6.932127499999999,7.385878999999999,10.203241,8.627525,10.187845,14.923618,16.506698999999998,12.486621000000001,10.707831,5.3692517,8.542914
2000-01-01 21:00:00,6.9210270000000005,7.403410000000001,10.5287,8.145883,9.718005,13.066025999999999,14.962021,12.208132,9.685597,5.344890599999999,9.301291
2000-01-01 22:00:00,6.867657,7.428522,10.926635000000001,7.722212,9.13025,12.078099,13.621993,11.886121000000001,8.029509,5.00212,9.878648
2000-01-01 23:00:00,6.7786255,7.3707337,11.208746000000001,7.4319562999999995,8.679534,12.136532,12.613348,11.546254,6.851586999999999,4.4619956,10.185253999999999
2000-01-02 00:00:00,6.606677499999999,7.3081097999999995,11.323808999999999,6.942092999999999,8.777975,12.5033,11.495410000000001,11.325884,6.3739300000000005,3.8932972,10.44475
2000-01-02 01:00:00,6.406889,7.220650999999999,11.477148,6.497196700000001,8.856497000000001,11.834387,10.456980999999999,11.241906,6.312391000000001,3.504289,10.795829
2000-01-02 02:00:00,6.2844562999999996,7.083794999999999,11.805534,6.4605913,9.048366999999999,11.006341,9.279099,11.29168,6.342990400000001,3.343088,11.162245
2000-01-02 03:00:00,6.3221483,6.911442299999999,12.378897,6.694528599999999,9.525942,10.794839,8.205608999999999,10.998609,7.548472,3.4137157999999994,11.627454
2000-01-02 04:00:00,6.4597907,6.701206699999999,12.65955,7.3715806,9.905583,10.630278,7.4073899999999995,10.419757,8.798747,3.6891246,11.915135000000001
2000-01-02 05:00:00,6.430192,6.572377,12.488141,8.185098,9.846217999999999,10.467779,6.4402003,9.882178,11.226534,4.080229,11.873342
2000-01-02 06:00:00,6.2016206,6.4983277,12.410598,8.687323,10.358024,10.593586,5.5773095999999995,9.312603999999999,12.416578,4.538241,12.058193
2000-01-02 07:00:00,5.873074,6.3686643,12.792137,9.275209,10.996422,10.889739,5.3200283,8.811907000000001,12.943060000000001,4.9265194,12.361392
2000-01-02 08:00:00,5.7191730000000005,6.1338196,12.978471,9.414506,11.18782,10.958185,5.829848,8.387001,13.042311999999999,5.158041000000001,12.777513
